Unique_Key,Agency_Name,Complaint_Type,Descriptor
26579373,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26580464,New York City Police Department,Illegal Parking,Blocked Hydrant
26574106,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26576448,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26576837,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26576643,New York City Police Department,Illegal Parking,Blocked Sidewalk
26575138,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26578845,New York City Police Department,Illegal Parking,Blocked Sidewalk
26575322,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26574050,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26577162,New York City Police Department,Illegal Parking,Blocked Hydrant
26574755,New York City Police Department,Illegal Parking,Blocked Hydrant
26579204,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26571153,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26572273,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26570886,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26571293,New York City Police Department,Illegal Parking,Blocked Sidewalk
26570371,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26569641,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26570815,New York City Police Department,Illegal Parking,Blocked Sidewalk
26570634,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26571922,New York City Police Department,Illegal Parking,Blocked Hydrant
26572378,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26570539,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26569942,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26572884,New York City Police Department,Illegal Parking,Detached Trailer
26569914,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26571188,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26570668,New York City Police Department,Illegal Parking,Blocked Hydrant
26572162,New York City Police Department,Illegal Parking,Blocked Hydrant
26571853,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26571806,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26571245,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26572005,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26571115,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic
26569685,New York City Police Department,Illegal Parking,Blocked Hydrant
26571887,New York City Police Department,Illegal Parking,Blocked Hydrant
26571566,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle
26571422,New York City Police Department,Illegal Parking,Blocked Hydrant
26572304,New York City Police Department,Illegal Parking,Blocked Hydrant
26570674,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26570141,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26572205,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26571832,New York City Police Department,Illegal Parking,Blocked Hydrant
26569538,New York City Police Department,Illegal Parking,Blocked Sidewalk
26566586,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26568714,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26567953,New York City Police Department,Illegal Parking,Blocked Sidewalk
26566594,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26568399,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26567458,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26565978,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26566613,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26565956,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26568406,New York City Police Department,Illegal Parking,Blocked Hydrant
26567235,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26567062,New York City Police Department,Illegal Parking,Blocked Hydrant
26568603,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26567844,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26565475,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26565091,New York City Police Department,Illegal Parking,Blocked Hydrant
26567005,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26568978,New York City Police Department,Illegal Parking,Blocked Sidewalk
26569240,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26564126,New York City Police Department,Illegal Parking,Blocked Hydrant
26566395,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26565057,New York City Police Department,Illegal Parking,Blocked Hydrant
26564242,New York City Police Department,Illegal Parking,Blocked Hydrant
26561703,New York City Police Department,Illegal Parking,Blocked Hydrant
26556145,New York City Police Department,Illegal Parking,Blocked Hydrant
26558517,New York City Police Department,Illegal Parking,Overnight Commercial Storage
26562696,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26560802,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26556228,New York City Police Department,Illegal Parking,Blocked Hydrant
26560830,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26563774,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26557362,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26558959,New York City Police Department,Illegal Parking,Unauthorized Bus Layover
26556973,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26563872,New York City Police Department,Illegal Parking,Blocked Sidewalk
26563247,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26558864,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26563371,New York City Police Department,Illegal Parking,Blocked Sidewalk
26560979,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26558841,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26559962,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26561071,New York City Police Department,Illegal Parking,Commercial Overnight Parking
26559508,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26561086,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26563326,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26558972,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26560132,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26561492,New York City Police Department,Illegal Parking,Blocked Sidewalk
26557899,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26562845,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26556896,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
26563892,New York City Police Department,Illegal Parking,Posted Parking Sign Violation
